"","y","x1","x2"
"75",0,2,13.1087493896
"76",0,2,13.1087493896
"77",0,2,13.1087493896
"78",0,1,15.5500001907
"79",0,1,15.5500001907
"80",0,1,15.5500001907
"81",0,1,15.5500001907
"82",0,1,15.5500001907
"83",0,2,15.5500001907
"84",0,2,15.5500001907
"85",0,2,15.5500001907
"86",0,4,15.5500001907
"87",0,3,15.5500001907
"88",0,3,15.5500001907
"89",0,3,15.5500001907
"90",0,3,15.5500001907
"91",0,2,15.5500001907
"92",0,3,15.5500001907
"93",0,3,15.5500001907
"94",0,3,15.5500001907
"95",0,4,15.5500001907
"96",0,4,15.5500001907
"97",0,5,15.5500001907
"98",0,3,15.5500001907
"99",0.13173256242402,10,15.5500001907
"100",0,10,15.5500001907
"101",0,10,15.5500001907
"102",0,10,15.5500001907
"103",0,1,16.2150001526
"104",0,1,16.2150001526
"105",0,1,16.2150001526
"106",0,1,16.2150001526
"107",0,1,16.2150001526
"108",0.0649369182358528,1,16.2150001526
"109",0,1,16.2150001526
"110",0,2,16.2150001526
"111",0,2,16.2150001526
"112",0,2,16.2150001526
"113",0,5,16.2150001526
"114",0,7,16.2150001526
"115",0,5,16.2150001526
"116",0,10,16.2150001526
"117",0,10,16.2150001526
"118",0,10,16.2150001526
"119",0,12,16.2150001526
"120",0,12,16.2150001526
"121",0,11,16.2150001526
"122",0,11,16.2150001526
"123",0,10,16.2150001526
"124",0,8,16.2150001526
"125",0,9,16.2150001526
"126",0,9,16.2150001526
"127",0,8,16.2150001526
"128",0,8,16.2150001526
"129",0,8,16.2150001526
"130",0,9,16.2150001526
"131",0.0608664920004496,5,16.1012496948
"132",0,4,16.1012496948
"133",0,4,16.1012496948
"134",0,2,16.1012496948
"135",0,2,16.1012496948
"136",0,2,16.1012496948
"137",0,2,16.1012496948
"138",0,2,16.1012496948
"139",0,4,16.1012496948
"140",0.0806857410859662,4,16.1012496948
"141",0,4,16.1012496948
"142",0,4,16.1012496948
"143",0,4,16.1012496948
"144",0,4,16.1012496948
"145",0,4,16.1012496948
"146",0,4,16.1012496948
"147",0,4,16.1012496948
"148",0,7,16.1012496948
"149",0,7,15.157500267
"150",0.00273435729037182,5,15.157500267
"151",0,6,15.157500267
"152",0,6,15.157500267
"153",0,8,15.157500267
"154",0,8,15.157500267
"155",0,6,15.157500267
"156",0,5,15.157500267
"157",0,2,15.157500267
"158",0,3,15.157500267
"159",0,3,15.157500267
"160",0,2,15.157500267
"161",0,2,15.157500267
"162",0,3,9.99874973297
"163",0,2,9.99874973297
"164",0,2,9.99874973297
"165",0,2,9.99874973297
"166",0,3,9.99874973297
"167",0,3,9.99874973297
"168",0,1,10.8287496567
"169",0,1,10.8287496567
"170",0,1,10.8287496567
"171",0,1,10.8287496567
"172",0,2,12.1049995422
"173",0,2,12.1049995422
"174",0,2,12.1049995422
"175",0,2,12.1049995422
"176",0,2,12.1049995422
"177",0,2,12.1049995422
"178",0,2,12.1049995422
"179",0,2,12.1049995422
"180",0,2,14.2125005722
"181",0,2,14.2125005722
"182",0,2,14.2125005722
"183",0,2,14.2125005722
"184",0,2,15.311249733
"185",0,2,15.311249733
"186",0,2,15.311249733
"187",0,2,15.311249733
"188",0,2,15.311249733
"189",0,2,15.311249733
"190",0,2,15.311249733
"191",0,2,15.311249733
"192",0,2,15.311249733
"193",0,3,15.311249733
"194",0,3,15.311249733
"195",0,7,15.311249733
"196",0,8,15.311249733
"197",0,9,15.311249733
"198",0,14,15.311249733
"199",0,13,15.311249733
"200",0,12,15.311249733
"201",0.0313243583898107,13,15.311249733
"202",0,11,15.311249733
"203",0,11,15.311249733
