"","index","minute","nsunfishm","nobserver","nsunfish","wdirlocal","seastate","shark","leatherback","wdirlocal2","month","ferry","sst","sstanom","year","iso13","non_zero","totzooL4","totmedusL4","siphL4","cfinL4","chelL4","lcopL4","siphcpr","cnidarcpr","phytocpr"
"76","1971-06-29",180,0,2,0,NA,2,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"77","1971-06-30",200,0,2,0,NA,3,NA,0,"",6,0,13.1087493896,-0.596364922685366,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"78","1971-07-01",60,0,1,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"79","1971-07-02",135,0,1,0,NA,2,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"80","1971-07-03",255,0,1,0,NA,1,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"81","1971-07-04",30,0,1,0,NA,3,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"82","1971-07-05",30,0,1,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"83","1971-07-06",30,0,2,0,NA,1.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"84","1971-07-07",30,0,2,0,NA,3,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"85","1971-07-08",120,0,2,0,NA,2,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"86","1971-07-09",60,0,4,0,NA,2.5,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"87","1971-07-10",30,0,3,0,NA,2,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"88","1971-07-11",30,0,3,0,NA,2,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"89","1971-07-12",90,0,3,0,NA,2,NA,0,"",7,0,15.5500001907,0.0149696047377983,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
